Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Player_href,Weight,College,Height
2016-17,23,BRK,NBA,PF,23,1,264,5.2,12.5,0.413,1.8,6.5,0.271,3.4,6,0.568,3.5,4.9,0.722,3.4,7.2,10.6,1.6,0.7,0.4,1.6,2.5,15.7,Anthony Bennett,/players/b/bennean01.html,245,UNLV,80
2016-17,21,DAL,NBA,PF,3,0,10,0,10.8,0,0,3.6,0,0,7.2,0,0,0,0,0,7.2,7.2,0,0,0,3.6,3.6,0,Ben Bentil,/players/b/bentibe01.html,235,Providence,81
2018-19,29,NOP,NBA,SG,12,0,167,2.6,10.1,0.255,2.2,7.3,0.294,0.4,2.8,0.154,0,0,0,0.4,1.5,1.9,2.2,0.2,0,0.4,1.5,7.3,Dairis Bertāns,/players/b/bertada02.html,200,None,76
2016-17,24,SAS,NBA,PF,67,6,808,4.6,10.4,0.44,3.1,7.7,0.399,1.5,2.7,0.557,1.2,1.5,0.824,1,3.4,4.4,2,0.9,1.2,1.4,3.3,13.5,Dāvis Bertāns,/players/b/bertada01.html,225,None,82
2017-18,25,SAS,NBA,PF,77,10,1086,5.3,12.1,0.44,3.1,8.4,0.373,2.2,3.8,0.588,1.3,1.6,0.816,0.6,4.5,5.1,2.5,0.9,0.9,1.2,3.1,15.1,Dāvis Bertāns,/players/b/bertada01.html,225,None,82
2018-19,26,SAS,NBA,PF,76,12,1632,4.5,10,0.45,3.2,7.5,0.429,1.3,2.5,0.513,1.2,1.3,0.883,0.5,5.3,5.8,2.2,0.8,0.7,0.9,2.9,13.4,Dāvis Bertāns,/players/b/bertada01.html,225,None,82
2019-20,27,WAS,NBA,PF,54,4,1583,6,13.9,0.434,4.5,10.7,0.424,1.5,3.1,0.471,2.4,2.8,0.852,0.8,4.8,5.6,2.1,0.8,0.8,1.3,3.2,19,Dāvis Bertāns,/players/b/bertada01.html,225,None,82
2020-21,28,WAS,NBA,PF,57,7,1464,4.7,11.8,0.404,4.2,10.5,0.395,0.6,1.2,0.48,2.5,2.8,0.87,0.4,3.7,4.1,1.2,0.8,0.3,0.8,3.3,16.1,Dāvis Bertāns,/players/b/bertada01.html,225,None,82
2016-17,28,HOU,NBA,SG,67,67,2058,4,9.5,0.42,1.9,5,0.382,2.1,4.5,0.463,1.3,1.7,0.768,1.7,5.2,6.9,4.9,1.7,0.4,1.7,3.9,11.2,Patrick Beverley,/players/b/beverpa01.html,180,Arkansas,73
2017-18,29,LAC,NBA,SG,11,11,334,5.2,12.8,0.403,2.6,6.5,0.4,2.6,6.4,0.407,1.5,1.8,0.824,1.7,3.1,4.9,3.4,2,0.5,2.7,3.7,14.4,Patrick Beverley,/players/b/beverpa01.html,180,Arkansas,73
2018-19,30,LAC,NBA,PG,78,49,2137,3.3,8,0.407,1.9,4.8,0.397,1.4,3.3,0.421,1.6,2.1,0.78,1.3,5.3,6.5,5.1,1.1,0.7,1.4,4.5,10,Patrick Beverley,/players/b/beverpa01.html,180,Arkansas,73
2019-20,31,LAC,NBA,PG,51,50,1342,3.9,9.1,0.431,2.1,5.5,0.388,1.8,3.6,0.496,0.8,1.3,0.66,1.5,5.6,7.1,4.9,1.4,0.7,1.8,4.2,10.9,Patrick Beverley,/players/b/beverpa01.html,180,Arkansas,73
2020-21,32,LAC,NBA,PG,37,34,832,4,9.5,0.423,2.4,6.1,0.397,1.6,3.4,0.468,1.6,1.9,0.8,1.3,3.9,5.1,3.3,1.3,1.2,1.5,4.7,12,Patrick Beverley,/players/b/beverpa01.html,180,Arkansas,73
2020-21,21,DET,NBA,SF,70,53,1909,5.3,13,0.404,3.3,8.7,0.38,2,4.4,0.45,2.3,2.8,0.844,0.8,5.2,6,1.8,1,0.3,1.1,2.1,16.2,Saddiq Bey,/players/b/beysa01.html,215,Villanova,79
2020-21,22,DAL,NBA,SF,18,0,71,3.5,11.2,0.318,0.5,2,0.25,3,9.1,0.333,1.5,2.5,0.6,4.1,5.6,9.6,1.5,0,0.5,1.5,3,9.1,Tyler Bey,/players/b/beyty01.html,215,Colorado,79
2017-18,25,ORL,NBA,C,42,0,578,4.2,7.8,0.54,0,0,0,4.2,7.8,0.54,2.6,3.8,0.689,4.4,6.9,11.2,2.1,0.9,1.3,1.3,3.5,11.1,Khem Birch,/players/b/birchkh01.html,233,UNLV,81
2018-19,26,ORL,NBA,C,50,1,643,5.1,8.5,0.603,0,0.1,0,5.1,8.4,0.607,3.2,4.6,0.699,4.4,6.2,10.6,2.1,1,1.6,1.1,4,13.4,Khem Birch,/players/b/birchkh01.html,233,UNLV,81
2019-20,27,ORL,NBA,C,48,24,922,2.9,5.6,0.51,0,0,0,2.9,5.5,0.514,2.6,3.9,0.653,3.6,5,8.6,2,0.8,0.9,1.2,3.6,8.3,Khem Birch,/players/b/birchkh01.html,233,UNLV,81
2020-21,28,TOT,NBA,C,67,22,1529,4.4,8.9,0.497,0.3,1.2,0.25,4.1,7.7,0.537,2.1,3,0.705,4.1,5,9.1,2.1,1.1,1.2,1,2.7,11.3,Khem Birch,/players/b/birchkh01.html,233,UNLV,81
2017-18,23,BOS,NBA,SG,13,1,115,4.7,8.1,0.577,0.9,2.2,0.429,3.8,5.9,0.632,1.9,4.1,0.462,1.9,4.1,5.9,2.5,0.9,0.3,2.5,2.2,12.2,Jabari Bird,/players/b/birdja01.html,198,California,78
